VariableCode,RegionCode,YearCode,AggValue
rgdpna,CAF,1966,2168.48510742188000000
rgdpna,CAF,1967,2232.79370117188000000
rgdpna,CAF,1968,2288.07885742188000000
rgdpna,CAF,1969,2473.77905273438000000
rgdpna,CAF,1970,2519.68627929688000000
rgdpna,CAF,1971,2443.19287109375000000
rgdpna,CAF,1972,2395.01562500000000000
rgdpna,CAF,1973,2503.45703125000000000
rgdpna,CAF,1974,2428.77954101563000000
rgdpna,CAF,1975,2472.98461914063000000
rgdpna,CAF,1976,2582.78784179688000000
rgdpna,CAF,1977,2790.47753906250000000
rgdpna,CAF,1978,2824.22070312500000000
rgdpna,CAF,1979,2754.60180664063000000
rgdpna,CAF,1980,2631.23413085938000000
rgdpna,CAF,1981,2671.96166992188000000
rgdpna,CAF,1982,2719.95458984375000000
rgdpna,CAF,1983,2554.11376953125000000
rgdpna,CAF,1984,2738.65405273438000000
rgdpna,CAF,1985,2830.03173828125000000
rgdpna,CAF,1986,2931.28930664063000000
rgdpna,CAF,1987,2786.74877929688000000
rgdpna,CAF,1988,2844.83227539063000000
rgdpna,CAF,1989,2915.25292968750000000
rgdpna,CAF,1990,2870.20971679688000000
rgdpna,CAF,1991,2904.07373046875000000
rgdpna,CAF,1992,2865.42675781250000000
rgdpna,CAF,1993,2855.44384765625000000
rgdpna,CAF,1994,3003.25390625000000000
rgdpna,CAF,1995,3158.01269531250000000
rgdpna,CAF,1996,2919.63916015625000000
rgdpna,CAF,1997,3098.34423828125000000
rgdpna,CAF,1998,3239.40063476563000000
rgdpna,CAF,1999,3431.75952148438000000
rgdpna,CAF,2000,3497.71411132813000000
rgdpna,CAF,2001,3519.76611328125000000
rgdpna,CAF,2002,3498.29614257813000000
rgdpna,CAN,1950,178231.32812500000000000
rgdpna,CAN,1951,186020.89062500000000000
rgdpna,CAN,1952,201602.15625000000000000
rgdpna,CAN,1953,211532.70312500000000000
rgdpna,CAN,1954,209159.01562500000000000
rgdpna,CAN,1955,228482.73437500000000000
