VariableCode,RegionCode,YearCode,AggValue
rgdpna,BMU,1993,1382.94665527344000000
rgdpna,BMU,1994,1404.80065917969000000
rgdpna,BMU,1995,1480.60656738281000000
rgdpna,BMU,1996,1537.97326660156000000
rgdpna,BMU,1997,1608.80847167969000000
rgdpna,BMU,1998,1671.71008300781000000
rgdpna,BMU,1999,1728.37817382813000000
rgdpna,BMU,2000,1779.94616699219000000
rgdpna,BMU,2001,1895.98193359375000000
rgdpna,BMU,2002,1867.02746582031000000
rgdpna,BRB,1960,2051.09790039063000000
rgdpna,BRB,1961,2198.10693359375000000
rgdpna,BRB,1962,2306.33154296875000000
rgdpna,BRB,1963,2201.07812500000000000
rgdpna,BRB,1964,2286.56079101563000000
rgdpna,BRB,1965,2521.36230468750000000
rgdpna,BRB,1966,2595.43774414063000000
rgdpna,BRB,1967,2983.84790039063000000
rgdpna,BRB,1968,3230.13867187500000000
rgdpna,BRB,1969,3537.67089843750000000
rgdpna,BRB,1970,3900.97583007813000000
rgdpna,BRB,1971,4053.61035156250000000
rgdpna,BRB,1972,4105.24511718750000000
rgdpna,BRB,1973,4160.28417968750000000
rgdpna,BRB,1974,3966.79614257813000000
rgdpna,BRB,1975,3891.42700195313000000
rgdpna,BRB,1976,4062.64965820313000000
rgdpna,BRB,1977,4208.90527343750000000
rgdpna,BRB,1978,4415.14160156250000000
rgdpna,BRB,1979,4763.93750000000000000
rgdpna,BRB,1980,4973.55078125000000000
rgdpna,BRB,1981,4879.05322265625000000
rgdpna,BRB,1982,4639.97998046875000000
rgdpna,DOM,1959,5823.76416015625000000
rgdpna,DOM,1960,6498.27246093750000000
rgdpna,DOM,1961,6379.46386718750000000
rgdpna,DOM,1962,7561.89648437500000000
rgdpna,DOM,1963,8065.84912109375000000
rgdpna,DOM,1964,8587.44335937500000000
rgdpna,DOM,1965,7657.78125000000000000
rgdpna,DOM,1966,8519.21484375000000000
rgdpna,DOM,1967,8722.21289062500000000
rgdpna,DOM,1968,8720.35937500000000000
rgdpna,DOM,1969,9578.21484375000000000
rgdpna,DOM,1970,11258.41699218750000000
rgdpna,DOM,1971,12482.40527343750000000
rgdpna,DOM,1972,13779.90820312500000000
rgdpna,DOM,1973,15557.15429687500000000
rgdpna,DOM,1974,16490.87109375000000000
rgdpna,DOM,1975,17347.28515625000000000
rgdpna,DOM,1976,18514.43164062500000000
rgdpna,DOM,1977,19436.02148437500000000
rgdpna,DOM,1978,19852.85937500000000000
rgdpna,DOM,1979,20751.71484375000000000
rgdpna,DOM,1980,22406.18164062500000000
rgdpna,DOM,1981,23364.91015625000000000
rgdpna,DOM,1982,23762.04296875000000000
rgdpna,DOM,1983,24861.73828125000000000
rgdpna,DOM,1984,25173.22851562500000000
rgdpna,DOM,1985,24638.91796875000000000
rgdpna,DOM,1986,25506.69921875000000000
rgdpna,DOM,1987,28087.30664062500000000
rgdpna,DOM,1988,28692.85742187500000000
rgdpna,DOM,1989,29955.49804687500000000
rgdpna,DOM,1990,28456.39843750000000000
rgdpna,DOM,1991,28675.42773437500000000
rgdpna,DOM,1992,31690.14843750000000000
rgdpna,DOM,1993,33978.93359375000000000
rgdpna,DOM,1994,34761.57812500000000000
rgdpna,DOM,1995,36671.27343750000000000
rgdpna,DOM,1996,39286.43750000000000000
rgdpna,DOM,1997,42431.02734375000000000
rgdpna,DOM,1998,45405.71875000000000000
rgdpna,DOM,1999,48454.77734375000000000
rgdpna,DOM,2000,51195.72265625000000000
rgdpna,DOM,2001,52121.97265625000000000
rgdpna,DOM,2002,55138.92187500000000000
rgdpna,ECU,1950,6748.36865234375000000
rgdpna,ECU,1951,6884.96972656250000000
rgdpna,ECU,1952,7681.62744140625000000
rgdpna,ECU,1953,7948.27294921875000000
rgdpna,ECU,1954,8702.31152343750000000
rgdpna,ECU,1955,9102.82617187500000000
rgdpna,ECU,1956,9406.89941406250000000
rgdpna,ECU,1957,9760.69726562500000000
rgdpna,ECU,1958,10027.61523437500000000
rgdpna,ECU,1959,10507.08496093750000000
rgdpna,ECU,1960,11089.27929687500000000
rgdpna,ECU,1961,11657.54003906250000000
rgdpna,ECU,1962,12230.99121093750000000
rgdpna,ECU,1963,12488.62109375000000000
