year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version,agreement,dyad,rivnumb,rivalry,totdisp,rivtyp2,rivtypold,ps,rivals,begin,conttype,col.conttype,any.cont,cap_gainer,pop_gainer,cap_loser,pop_loser,caprat,polity.gainer,polity.loser,joint.dem,settle,new.border.settle1,new.border.settle5,tenure.loser,tenure.gainer,simul.transfers,prev.transfers,flow1,flow2,flow1.lag1,flow2.lag1,flow1.lead1,flow2.lead1,gainer_loser_lead3,loser_gainer_lead3,gainer_loser_lead5,loser_gainer_lead5,gainer_loser_lag3,loser_gainer_lag3,gainer_loser_lag5,loser_gainer_lag5,agg_lead3,agg_lead5,agg_lag3,agg_lag5,kmdist,gdp.loser,gdp.gainer,agg_pop,agg_gdp,fta,gatt1,gatt2,comlang,comcol,colony,curcol,currencyu,joint.gatt.any,joint.gatt.formal
1898.0,8,2.0,0,2,4,0,16638.0,109020,1,4.0,1,NA,0,0,366,0,0,4.01,0.0,24.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.1970619,73494e3,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,1.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478067.40927004296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845.0,3,2.0,1,2,7,1,1010472.0,35162,1,7.0,1,NA,0,0,94,0,0,4.01,0.0,27.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.0616531,20182e3,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61993.494265502035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848.0,2,2.0,1,3,70,1,1370153.0,295574,0,70.0,1,1,0,0,103,0,1,4.01,1.0,270.0,13,2070,17,RIVALRY,ENDURING,NA,1.0,NA,0.0,0.0,0.0,0.0871742,22018e3,0.0086817,7534e3,0.09959024573784447,10.0,-3.0,0.0,0.0,0.0,0.0,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3024,NA,71611.59804974972,29552e3,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA
1853.0,12,2.0,1,3,70,1,76768.0,96000,0,70.0,1,1,0,0,116,0,0,4.01,1.0,270.0,13,2070,17,RIVALRY,ENDURING,NA,1.0,NA,0.0,0.0,0.0,0.0787437,25736e3,0.0085897,781e4,0.1090842822981394,9.0,-3.0,0.0,0.0,0.0,0.0,NA,NA,1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3024,NA,95648.76191075238,33546e3,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA
1963.0,7,70.0,1,3,2,1,2.0,100,0,2.0,1,1,0,0,726,0,0,4.01,1.0,270.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,5.0,1.0,0.0076685,4079e4,0.2079665,189242e3,27.119580100410772,-6.0,10.0,0.0,1.0,0.0,0.0,0.0,5.0,1,2.0,661.0,850.2,640.0,782.5,709.0,1023.3,744.3333333333334,1024.7666666666667,801.8,1082.3799999999999,573.3333333333334,812.2666666666667,545.8,807.9399999999999,1769.1,1884.1799999999998,1385.6,1615.8799999999999,3024,3643977.0,281798.65625,230032e3,3925775.65625,0.0,orig,out,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1863.0,NA,2.0,0,2,91,0,5.0,NA,0,91.0,1,1,0,0,159,0,0,4.01,0.0,291.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.178967,34026e3,NA,NA,NA,8.0,0.0,0.0,NA,NA,NA,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2922,NA,141105.88679322472,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA
1972.0,NA,91.0,1,3,91,1,3.0,NA,0,2.0,0,0,0,0,777,0,0,4.01,1.0,291.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,0.0,0.0,3.302e-4,2805e3,0.1632864,209896e3,494.5075711689885,-1.0,10.0,0.0,NA,0.0,0.0,3.0,0.0,1,1.0,123.0,85.14,128.0,91.49,159.8,107.24,161.70000000000002,143.99666666666667,205.0,175.76999999999998,112.66666666666667,87.82333333333332,102.2,85.428,305.6966666666667,380.77,200.49,170.856,2922,5298624.5,8017.24658203125,212701e3,5306641.746582031,0.0,orig,out,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,6,2.0,0,3,93,0,10.0,NA,0,93.0,1,1,0,0,459,0,0,4.01,1.0,293.0,10022,2093,3,RIVALRY,PROTO,0.0,1.0,NA,0.0,4.0,1.0,0.232941,101961e3,1.113e-4,602e3,4.7780339227529716e-4,10.0,-3.0,0.0,NA,0.0,0.0,5.0,3.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3103,NA,957863.4870163029,102563e3,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA
1971.0,4,93.0,0,3,93,1,6.0,2116,0,2.0,0,0,0,0,765,0,0,4.01,1.0,293.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,5.0,1.0,2.635e-4,1889e3,0.1688821,207661e3,640.9187855787476,-8.0,10.0,0.0,NA,0.0,0.0,2.0,4.0,1,1.0,74.0,69.75,65.5,72.3,87.0,69.22,102.33333333333333,120.25333333333333,129.6,138.624,59.166666666666664,69.83,51.1,76.038,222.58666666666664,268.224,128.99666666666667,152.076,3103,5034354.5,12522062.2782216,20955e4,17556416.7782216,0.0,orig,art33,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1903.0,11,2.0,0,3,96,0,1678.0,21650,1,95.0,1,1,0,0,400,0,0,4.01,1.0,295.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,0.0,0.0,0.2105013,80632e3,-9.0,NA,-42.755080372425255,10.0,-3.0,0.0,NA,NA,NA,0.0,2.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3325,NA,631517.017801642,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA
